Freq.	V(i_sns)	V(v_sns)
5.01187233627279e+04	(-5.48223033307831e+00dB,1.59009605620871e+02°)	(-1.57231191926304e+01dB,-1.07232364034692e+02°)
5.24807460249780e+04	(-5.42676758972194e+00dB,1.57333311613102e+02°)	(-1.60942336675049e+01dB,-1.08706179615617e+02°)
5.49540873857632e+04	(-5.36813468358385e+00dB,1.55575514573420e+02°)	(-1.64647131440390e+01dB,-1.10248197801147e+02°)
5.75439937337165e+04	(-5.30628202317321e+00dB,1.53728235177484e+02°)	(-1.68347475733132e+01dB,-1.11865211970720e+02°)
6.02559586074366e+04	(-5.24122154359169e+00dB,1.51782860195377e+02°)	(-1.72046107432456e+01dB,-1.13564509178274e+02°)
6.30957344480202e+04	(-5.17304299670788e+00dB,1.49730119165743e+02°)	(-1.75746786133752e+01dB,-1.15353873667518e+02°)
6.60693448007605e+04	(-5.10193300435868e+00dB,1.47560076221193e+02°)	(-1.79454505987507e+01dB,-1.17241572057506e+02°)
6.91830970918946e+04	(-5.02819685587060e+00dB,1.45262143838835e+02°)	(-1.83175738004198e+01dB,-1.19236312818387e+02°)
7.24435960075000e+04	(-4.95228277079957e+00dB,1.42825126910894e+02°)	(-1.86918699204454e+01dB,-1.21347170933295e+02°)
7.58577575029195e+04	(-4.87480788536025e+00dB,1.40237306944275e+02°)	(-1.90693641358466e+01dB,-1.23583467014966e+02°)
7.94328234724293e+04	(-4.79658466139742e+00dB,1.37486577262803e+02°)	(-1.94513146442082e+01dB,-1.25954588875972e+02°)
8.31763771102683e+04	(-4.71864548653234e+00dB,1.34560639998261e+02°)	(-1.98392406596110e+01dB,-1.28469743413526e+02°)
8.70963589956093e+04	(-4.64226222803513e+00dB,1.31447273506111e+02°)	(-2.02349456198764e+01dB,-1.31137628321356e+02°)
9.12010839355923e+04	(-4.56895617991241e+00dB,1.28134673694521e+02°)	(-2.06405310299593e+01dB,-1.33966018007551e+02°)
9.54992586021450e+04	(-4.50049253117708e+00dB,1.24611862535752e+02°)	(-2.10583950240099e+01dB,-1.36961267520753e+02°)
1.00000000000001e+05	(-4.43885245578379e+00dB,1.20869141099325e+02°)	(-2.14912086590712e+01dB,-1.40127753581209e+02°)
1.04712854805091e+05	(-4.38617561216445e+00dB,1.16898541303707e+02°)	(-2.19418625675399e+01dB,-1.43467293853830e+02°)
